labeled_tile,original_tile_path
c_0.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-468_4_4.jpg
c_1.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-468_4_5.jpg
c_2.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-468_5_5.jpg
c_3.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_1_1.jpg
c_4.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_1_2.jpg
c_5.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_1_3.jpg
c_6.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_1_4.jpg
c_7.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_2_1.jpg
c_8.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_2_2.jpg
c_9.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_2_3.jpg
c_10.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_2_4.jpg
c_11.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_2_5.jpg
c_12.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_2_6.jpg
c_13.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_3_2.jpg
c_14.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_3_3.jpg
c_15.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_3_4.jpg
c_16.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_3_5.jpg
c_17.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_3_6.jpg
c_18.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_3_7.jpg
c_19.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_4_4.jpg
c_20.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_4_5.jpg
c_21.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_4_7.jpg
c_22.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_5_6.jpg
c_23.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-470_5_7.jpg
c_24.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-472_5_2.jpg
c_25.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-472_5_3.jpg
c_26.jpg,../../data/raw/conflict-detection/split-images/all_tiles/improbable-472_6_4.jpg
